TimeOnPage,PagesViewed,ProductsViewed,AddedToCart,TrafficSource,Purchase
35,5,6,1,Organic,1
36,12,44,8,Email,1
24,5,9,8,Email,1
53,1,47,1,Referral,0
26,6,6,9,Ads,0
26,2,37,8,Referral,0
43,18,12,4,Email,0
50,19,36,4,Email,0
19,4,7,7,Ads,1
49,7,36,2,Organic,0
43,3,18,0,Organic,1
47,9,27,5,Referral,1
1,16,24,1,Organic,0
36,6,16,2,Organic,1
44,6,19,5,Organic,0
21,14,1,1,Email,1
2,11,28,1,Referral,0
26,2,26,0,Email,0
37,7,45,3,Organic,1
13,10,1,7,Email,0
45,3,2,6,Ads,0
54,16,16,2,Email,0
52,9,8,0,Email,1
12,3,20,4,Referral,1
25,18,5,6,Referral,0
46,4,35,7,Organic,1
43,4,48,9,Email,1
22,16,12,4,Ads,0
43,14,47,8,Organic,0
8,3,18,5,Ads,1
31,15,33,1,Email,0
32,6,12,8,Ads,0
33,17,46,9,Ads,0
17,16,11,1,Organic,0
28,6,1,1,Email,0
36,16,29,4,Email,1
51,6,28,1,Referral,0
50,16,23,6,Ads,1
36,1,3,6,Email,0
4,16,7,4,Email,1
56,17,43,0,Email,0
55,19,11,2,Referral,0
31,9,24,0,Email,1
32,11,43,3,Ads,1
18,6,11,0,Referral,0
28,18,16,5,Referral,1
41,9,48,2,Email,1
42,12,6,5,Referral,0
14,2,18,6,Referral,0
49,14,1,7,Organic,1
42,14,5,1,Email,0
51,7,49,4,Email,0
42,5,1,4,Referral,1
15,19,48,6,Ads,1
36,4,36,1,Organic,0
12,16,6,2,Email,0
10,2,1,4,Organic,1
10,4,21,9,Organic,0
7,15,33,0,Email,0
3,17,23,7,Ads,1
14,7,6,5,Ads,1
29,4,15,0,Ads,0
26,1,40,3,Ads,1
30,16,12,5,Email,1
17,10,7,9,Email,0
27,17,3,1,Ads,1
17,9,7,5,Organic,0
28,14,44,7,Ads,0
54,12,39,6,Ads,0
42,3,44,8,Ads,0
54,18,12,8,Referral,1
20,10,5,6,Referral,1
9,2,7,5,Ads,1
2,6,4,6,Email,1
5,6,17,8,Organic,1
40,3,9,4,Ads,0
56,14,39,0,Referral,1
14,4,49,8,Email,0
28,18,41,5,Ads,0
40,7,45,8,Email,1
44,12,8,5,Ads,1
28,1,29,1,Email,1
20,4,13,9,Referral,1
38,17,8,9,Referral,1
41,5,21,3,Email,1
28,19,11,5,Email,0
49,9,47,7,Referral,1
22,1,42,8,Email,0
18,12,44,5,Referral,1
10,1,28,3,Ads,0
4,19,4,6,Email,1
59,2,26,3,Referral,1
25,10,38,3,Ads,1
18,11,18,9,Ads,1
13,1,44,4,Email,0
17,7,4,9,Ads,1
41,3,10,2,Organic,1
9,3,5,3,Ads,1
16,16,4,0,Organic,1
11,7,30,5,Organic,1
6,18,33,0,Ads,1
53,12,12,5,Referral,1
6,12,41,5,Referral,1
1,8,15,3,Organic,0
44,4,1,1,Referral,0
26,6,30,7,Organic,0
12,5,21,3,Referral,1
21,19,34,6,Email,0
22,9,23,5,Referral,1
53,8,32,9,Organic,0
8,10,41,0,Email,0
1,4,18,9,Email,1
54,9,14,3,Ads,1
20,13,8,0,Email,0
42,7,17,3,Email,1
24,13,20,2,Referral,0
58,1,24,2,Referral,1
44,14,35,9,Ads,1
11,19,23,9,Email,0
7,3,19,6,Ads,1
5,14,9,2,Ads,1
45,14,29,0,Ads,0
13,14,8,1,Email,1
12,17,26,2,Organic,1
18,18,6,4,Email,0
4,13,5,9,Ads,0
47,10,23,7,Organic,0
39,4,28,3,Ads,0
59,18,28,5,Organic,1
24,5,17,1,Referral,0
49,7,17,0,Organic,0
38,15,15,1,Ads,0
55,14,17,9,Organic,1
27,3,17,0,Referral,1
52,3,15,9,Ads,1
50,12,47,0,Referral,0
44,4,41,5,Email,0
20,2,17,4,Organic,0
42,16,49,9,Ads,0
5,6,42,5,Email,1
20,1,35,9,Email,0
58,1,41,0,Email,1
8,11,4,2,Ads,1
4,19,41,9,Referral,0
55,10,42,0,Organic,1
52,6,40,2,Email,0
32,10,9,0,Email,0
43,3,43,6,Organic,1
54,12,15,2,Organic,0
50,5,22,4,Ads,1
43,18,11,5,Referral,0
34,7,48,2,Referral,1
54,15,29,1,Email,1
34,4,10,6,Referral,1
33,1,35,6,Ads,1
58,14,13,5,Organic,1
35,5,28,8,Organic,0
22,5,25,6,Referral,0
55,4,19,7,Referral,0
26,13,48,2,Referral,0
43,7,35,6,Organic,1
3,12,34,6,Ads,0
45,6,24,5,Email,0
26,13,32,3,Organic,0
42,19,49,8,Ads,1
13,7,34,1,Referral,0
5,3,6,4,Organic,1
18,6,30,7,Organic,0
29,12,27,4,Ads,0
3,17,48,1,Email,1
25,14,9,6,Referral,1
18,15,38,1,Referral,1
26,19,24,5,Ads,1
33,18,19,7,Email,0
49,5,4,2,Referral,1
16,1,14,8,Referral,1
58,3,26,5,Ads,1
38,18,12,6,Organic,0
50,5,37,3,Referral,1
9,13,28,7,Ads,1
52,19,32,5,Email,0
45,6,34,0,Organic,0
41,10,30,4,Referral,1
56,13,1,1,Organic,1
57,19,6,3,Email,0
38,12,12,9,Email,1
44,8,21,5,Organic,0
45,9,25,0,Organic,1
53,16,5,6,Organic,1
40,10,44,3,Ads,1
8,5,18,6,Ads,0
51,13,2,0,Ads,1
55,11,38,7,Email,0
10,1,49,1,Email,0
1,12,36,0,Ads,1
9,17,11,9,Organic,1
5,2,32,2,Ads,0
45,11,33,9,Email,0
54,17,37,0,Organic,1
45,6,7,4,Organic,0
34,17,13,3,Ads,1
6,10,6,3,Ads,0
44,14,33,4,Organic,0
33,8,10,5,Email,0
17,14,49,6,Email,1
13,14,10,3,Organic,1
42,1,8,2,Organic,0
3,17,40,6,Email,1
55,9,8,0,Referral,1
52,18,24,8,Referral,0
38,17,25,0,Organic,0
9,12,19,2,Organic,0
40,15,33,7,Referral,0
50,1,25,5,Email,1
26,1,36,9,Email,0
5,17,1,4,Organic,0
31,14,2,4,Referral,1
41,16,26,3,Email,1
55,18,12,7,Ads,0
32,3,44,5,Organic,0
50,2,43,3,Email,0
21,11,11,3,Referral,0
49,7,16,0,Organic,0
43,3,30,1,Referral,0
11,18,5,7,Referral,1
1,15,43,5,Organic,0
25,11,47,6,Ads,1
5,11,11,7,Ads,1
26,15,33,6,Ads,0
6,15,18,3,Email,0
42,19,21,1,Email,1
37,18,18,3,Email,1
50,6,47,4,Referral,1
57,16,34,7,Organic,0
59,2,38,5,Referral,1
44,3,5,9,Ads,0
14,13,21,4,Organic,0
33,14,48,0,Organic,1
28,2,37,7,Email,1
17,19,29,3,Organic,1
33,1,46,9,Email,1
8,8,18,4,Email,0
26,7,27,4,Referral,0
32,9,20,1,Ads,0
13,3,32,2,Ads,0
41,3,43,5,Ads,1
11,7,39,3,Email,1
39,2,33,3,Referral,0
37,9,5,9,Email,0
17,16,35,2,Organic,1
1,13,33,2,Organic,0
34,8,49,9,Referral,0
20,2,1,4,Referral,0
59,15,20,6,Referral,0
55,10,45,2,Organic,1
41,2,25,4,Email,1
56,14,23,6,Organic,1
13,15,38,3,Referral,0
12,6,39,0,Ads,1
17,14,9,7,Ads,0
20,1,4,5,Ads,1
51,18,30,7,Ads,1
13,9,38,7,Organic,1
2,12,4,5,Email,1
23,17,35,0,Referral,1
15,11,46,0,Email,0
6,9,47,2,Referral,1
40,16,19,9,Referral,1
42,18,22,4,Email,0
23,13,27,0,Email,1
17,10,17,1,Ads,1
4,3,28,3,Organic,1
18,13,20,9,Email,0
24,5,8,2,Ads,1
11,16,48,3,Referral,0
40,12,37,2,Organic,1
41,1,20,2,Ads,1
22,4,41,6,Ads,0
45,2,22,6,Referral,0
7,15,30,3,Organic,0
24,15,35,6,Organic,1
31,16,41,6,Referral,1
52,15,44,5,Ads,1
38,7,34,5,Organic,0
27,19,12,0,Referral,0
30,7,4,3,Ads,0
25,10,49,6,Email,0
54,18,28,5,Organic,0
30,14,26,2,Email,0
28,13,18,4,Organic,0
56,1,8,7,Ads,1
16,1,37,8,Ads,1
40,12,33,3,Ads,1
15,12,14,5,Email,1
38,8,34,8,Organic,0
1,14,1,1,Ads,0
56,10,9,3,Ads,0
55,2,23,6,Referral,0
9,7,30,6,Referral,1
20,1,31,1,Ads,1
7,7,49,2,Ads,1
58,17,7,8,Ads,0
12,18,1,5,Organic,0
44,6,26,2,Ads,0
47,2,31,7,Referral,1
48,10,43,5,Email,1
5,10,18,6,Organic,0
36,17,41,3,Ads,0
52,17,27,6,Email,0
4,12,36,8,Email,0
29,17,46,0,Referral,1
34,12,46,4,Organic,0
46,5,18,0,Organic,1
55,17,22,5,Email,0
41,18,49,4,Organic,1
49,14,36,1,Referral,1
53,8,13,1,Referral,0
47,13,39,0,Organic,1
53,17,28,3,Organic,1
23,2,45,4,Ads,0
14,6,4,5,Email,1
29,6,16,6,Organic,1
11,18,33,1,Organic,0
51,11,33,2,Ads,0
25,10,45,7,Organic,1
18,7,33,3,Referral,0
26,16,41,6,Email,1
58,5,18,6,Referral,0
8,1,24,3,Referral,1
59,17,30,1,Referral,1
38,14,5,3,Ads,0
38,2,42,0,Referral,0
44,8,10,2,Email,0
48,13,14,2,Referral,1
17,4,34,6,Organic,0
42,11,33,0,Ads,0
44,11,9,2,Ads,0
56,6,18,0,Referral,0
42,13,16,4,Referral,1
8,1,21,4,Ads,1
16,1,12,7,Referral,1
21,18,18,8,Referral,1
54,8,42,7,Referral,0
39,8,46,1,Referral,1
30,8,14,7,Organic,0
47,5,14,7,Ads,0
27,18,41,2,Ads,0
6,11,44,0,Referral,1
43,9,38,2,Ads,1
50,17,21,6,Organic,1
20,10,42,1,Ads,0
57,8,35,8,Referral,0
48,12,27,3,Email,0
18,3,24,1,Email,1
20,10,26,3,Organic,0
11,1,33,3,Organic,1
18,9,47,2,Organic,0
21,9,34,0,Referral,1
16,8,38,1,Email,1
52,8,16,3,Email,0
5,11,6,5,Referral,1
28,14,45,6,Email,1
14,15,13,1,Organic,0
2,18,20,3,Ads,0
23,16,29,8,Email,1
5,17,19,7,Ads,0
56,3,2,5,Organic,1
36,11,45,6,Email,0
50,12,30,6,Email,0
57,15,30,3,Referral,1
42,11,31,8,Referral,0
6,14,7,1,Email,0
25,4,8,8,Email,1
6,8,47,4,Ads,0
44,15,26,3,Email,1
39,17,35,7,Email,0
17,11,42,7,Email,1
41,17,20,5,Referral,1
15,17,3,2,Email,0
46,12,15,0,Referral,1
37,13,10,6,Ads,1
3,18,26,4,Email,0
28,4,16,9,Email,1
46,7,21,9,Referral,1
47,5,12,9,Email,1
7,14,2,5,Organic,0
15,11,44,3,Ads,0
41,1,5,0,Referral,1
31,7,43,0,Organic,0
27,4,6,4,Ads,0
26,12,5,4,Ads,0
8,5,26,8,Email,1
23,13,3,2,Referral,0
27,2,48,0,Referral,0
41,18,22,1,Organic,1
56,12,36,0,Email,0
7,9,27,8,Referral,0
25,16,16,0,Ads,1
8,11,17,3,Email,0
59,6,14,0,Referral,0
5,7,39,2,Referral,0
29,1,48,1,Email,0
54,2,1,7,Ads,0
4,9,41,6,Email,0
4,11,27,8,Email,1
56,7,12,1,Organic,0
48,6,22,2,Email,1
5,15,36,7,Ads,1
29,9,45,3,Ads,0
23,17,1,0,Email,1
52,1,14,0,Organic,0
44,2,12,6,Referral,1
22,3,24,5,Organic,1
32,18,41,9,Ads,0
33,12,18,3,Referral,0
43,6,13,1,Organic,1
41,11,41,0,Ads,0
5,16,42,0,Referral,0
46,2,25,7,Organic,0
6,4,33,3,Referral,0
46,3,8,5,Email,0
37,7,45,0,Email,0
18,16,48,9,Email,1
21,19,41,2,Ads,0
9,18,3,1,Email,0
18,14,31,4,Organic,0
50,14,12,6,Referral,1
19,7,33,8,Organic,1
17,10,2,7,Ads,1
7,9,48,9,Organic,1
35,4,40,2,Referral,0
8,8,11,5,Organic,0
7,7,12,5,Email,0
54,2,9,7,Email,0
18,16,22,8,Organic,0
6,7,7,3,Organic,1
57,17,26,6,Referral,0
16,17,25,1,Ads,1
15,17,37,5,Email,1
20,13,14,8,Organic,1
7,13,40,6,Organic,1
55,15,24,4,Email,0
27,18,40,0,Referral,1
56,6,26,1,Referral,0
40,5,1,2,Ads,0
16,18,40,7,Ads,1
14,10,28,0,Organic,1
17,6,21,2,Referral,0
19,15,22,9,Organic,0
49,17,3,7,Ads,0
59,18,23,1,Referral,1
28,7,41,0,Ads,1
42,2,48,3,Email,1
40,7,17,8,Email,1
16,18,21,0,Ads,1
23,10,19,6,Referral,0
29,5,45,5,Email,0
14,6,47,0,Ads,0
1,8,36,3,Organic,0
22,10,10,1,Ads,0
43,3,22,1,Email,0
37,3,14,3,Referral,1
27,12,43,2,Referral,0
21,16,20,2,Email,0
25,16,34,5,Ads,0
30,9,15,7,Email,0
39,16,37,3,Ads,1
23,8,44,3,Organic,1
48,13,4,9,Organic,1
27,12,49,0,Organic,1
54,15,3,9,Email,0
25,12,37,0,Organic,0
13,17,42,8,Organic,1
10,5,48,3,Ads,1
34,9,15,6,Referral,1
56,16,2,0,Organic,1
17,9,10,5,Ads,0
47,2,1,6,Organic,0
49,18,41,9,Referral,1
3,14,40,4,Email,1
57,2,21,0,Ads,1
55,9,24,1,Organic,0
18,13,33,3,Email,0
42,10,31,0,Referral,1
6,15,28,9,Ads,1
59,18,31,3,Organic,0
13,4,32,4,Email,1
43,14,3,8,Referral,1
32,8,2,3,Organic,1
12,2,31,7,Referral,0
47,6,14,9,Organic,0
39,2,7,4,Referral,1
49,15,40,3,Organic,1
20,5,39,9,Ads,1
14,19,44,3,Organic,1
37,9,29,7,Ads,0
59,19,21,9,Ads,0
8,6,15,5,Referral,0
32,8,10,8,Ads,1
25,14,35,9,Email,0
29,14,14,1,Email,0
47,16,49,7,Email,0
20,17,31,6,Email,1
43,10,13,7,Email,1
6,14,17,0,Ads,0
4,12,47,6,Ads,0
43,1,47,2,Ads,0
30,10,33,0,Ads,0
4,16,7,5,Email,1
6,14,4,7,Organic,1
14,11,29,2,Referral,1
59,2,26,3,Email,1
28,13,15,4,Organic,0
39,18,5,0,Ads,0
33,4,26,1,Organic,1
34,16,41,6,Referral,1
10,8,36,3,Email,1
52,9,14,1,Ads,1
37,9,29,2,Organic,1
23,4,23,2,Referral,1
29,9,41,1,Email,0
7,16,28,8,Referral,0
12,16,47,5,Ads,0
1,13,21,4,Referral,0
10,5,35,5,Organic,1
28,11,33,0,Email,1
21,9,44,1,Referral,0
51,17,34,7,Organic,1
49,12,40,2,Referral,1
53,3,16,1,Organic,1
27,3,37,8,Organic,0
28,17,6,1,Ads,0
45,17,18,4,Email,1
16,16,14,6,Referral,0
2,18,47,6,Email,1
49,19,8,8,Referral,0
6,2,17,1,Referral,1
2,4,27,9,Referral,1
13,7,39,3,Organic,1
23,13,25,5,Referral,0
9,19,31,3,Referral,0
33,15,39,4,Email,0
36,17,38,6,Email,0
27,4,16,6,Organic,0
53,1,40,0,Organic,1
55,3,20,7,Referral,1
8,8,21,5,Organic,1
13,14,22,5,Ads,0
33,18,14,0,Ads,0
27,5,28,2,Email,1
47,2,45,3,Referral,1
38,10,20,6,Ads,0
10,6,34,2,Ads,1
31,2,22,7,Referral,1
57,12,28,3,Referral,1
18,1,41,9,Referral,1
6,4,41,4,Referral,0
25,1,38,8,Referral,1
59,19,43,6,Referral,1
15,11,33,2,Ads,1
28,8,37,8,Email,1
33,8,42,3,Referral,0
5,13,43,5,Organic,1
41,17,4,1,Email,1
12,4,31,0,Email,1
5,11,2,4,Ads,0
16,14,40,9,Organic,0
17,8,28,9,Organic,0
45,8,32,8,Ads,0
30,13,17,3,Ads,0
6,3,44,3,Ads,0
28,10,40,5,Referral,0
33,11,22,2,Ads,1
25,14,44,0,Ads,0
39,9,47,3,Referral,0
39,4,8,6,Ads,0
20,12,17,6,Email,1
42,4,34,8,Ads,1
40,16,1,8,Organic,0
24,16,27,0,Email,0
17,5,46,3,Referral,0
10,18,31,5,Email,1
13,16,15,7,Organic,0
30,8,24,0,Organic,1
39,1,23,8,Organic,0
9,12,33,2,Email,1
58,8,20,9,Referral,1
23,3,49,6,Ads,1
38,18,5,0,Referral,1
45,9,26,3,Ads,1
2,7,17,4,Referral,1
22,19,24,1,Email,1
19,19,27,3,Referral,1
54,18,5,1,Referral,1
41,13,35,9,Organic,0
1,5,2,8,Ads,0
44,18,44,9,Email,1
44,18,20,1,Organic,1
59,6,44,8,Organic,0
18,6,44,3,Organic,0
44,18,48,4,Ads,1
5,1,20,6,Email,0
27,4,40,8,Email,0
8,5,49,5,Organic,0
20,7,30,9,Ads,0
30,10,23,8,Referral,0
56,9,1,9,Referral,1
39,8,12,7,Email,0
30,11,13,6,Referral,1
32,12,28,2,Email,1
38,8,3,0,Referral,0
44,9,43,5,Organic,1
23,12,37,9,Ads,1
6,19,6,9,Organic,0
19,10,26,4,Email,0
39,19,12,3,Ads,0
45,2,35,3,Organic,1
50,15,31,6,Organic,0
43,12,2,9,Organic,1
33,18,1,9,Organic,1
47,15,26,9,Referral,1
20,3,21,5,Email,1
52,17,5,9,Email,0
19,9,24,7,Ads,0
45,1,43,5,Organic,0
16,11,12,9,Email,1
37,5,32,7,Ads,0
26,16,9,7,Organic,1
24,9,18,5,Referral,1
49,11,24,0,Referral,0
34,15,47,5,Referral,1
53,10,13,7,Email,0
1,9,46,6,Referral,0
26,5,7,0,Ads,0
32,14,6,6,Email,0
48,14,4,1,Ads,1
51,13,19,8,Referral,0
35,13,35,1,Referral,0
38,18,12,8,Organic,1
44,1,10,6,Organic,0
8,3,20,9,Ads,1
35,5,6,3,Ads,1
44,16,49,7,Ads,0
36,8,41,9,Organic,1
39,6,23,2,Organic,1
54,13,37,9,Ads,1
15,10,25,6,Ads,1
1,14,10,1,Organic,0
38,6,8,5,Organic,1
3,6,30,2,Email,1
57,19,29,1,Email,1
4,1,37,5,Referral,0
57,9,1,2,Ads,1
57,18,48,6,Email,1
38,4,3,4,Ads,1
25,13,39,6,Email,1
23,17,5,1,Organic,0
2,12,48,5,Ads,1
32,6,21,3,Referral,0
28,7,47,8,Referral,0
25,8,19,2,Referral,0
23,14,5,1,Email,0
15,17,31,0,Referral,1
17,7,22,0,Ads,0
21,8,28,8,Referral,1
15,16,36,0,Email,0
34,15,8,9,Email,1
55,9,6,6,Ads,1
55,11,12,4,Ads,1
46,19,30,3,Organic,0
36,10,24,2,Organic,0
47,9,15,3,Referral,0
11,16,5,8,Referral,1
34,14,6,8,Ads,0
53,10,47,7,Organic,0
16,3,14,8,Referral,1
16,11,27,1,Referral,1
4,2,13,8,Email,1
37,1,44,2,Organic,0
57,9,20,2,Organic,1
20,18,27,3,Ads,0
30,11,46,6,Email,0
46,7,16,8,Referral,0
44,18,21,2,Organic,1
52,16,45,0,Organic,1
2,17,22,2,Email,0
42,2,2,0,Organic,1
24,5,37,0,Email,0
39,4,18,5,Ads,0
11,8,12,9,Ads,1
44,17,41,5,Referral,1
24,5,28,1,Referral,0
43,11,9,9,Ads,0
3,13,5,8,Referral,1
11,10,4,1,Ads,1
47,4,47,6,Referral,0
34,15,13,3,Email,0
33,2,25,8,Ads,0
39,18,4,5,Ads,1
44,7,41,1,Email,1
2,17,9,8,Email,0
56,11,25,7,Email,0
53,15,28,5,Ads,1
16,15,46,9,Email,0
59,12,30,6,Referral,1
16,2,22,6,Email,0
57,15,30,5,Referral,1
59,5,48,2,Referral,1
43,2,49,5,Ads,1
27,17,10,4,Email,0
24,5,12,2,Organic,1
46,12,26,0,Referral,1
11,2,24,5,Organic,0
42,15,9,0,Referral,0
12,2,28,7,Referral,0
50,2,6,1,Email,1
33,7,30,3,Organic,1
14,14,21,6,Referral,0
25,11,47,4,Referral,1
55,6,29,0,Referral,0
59,1,24,1,Email,0
11,2,5,5,Ads,1
58,19,14,3,Ads,0
21,1,45,4,Ads,1
57,11,20,2,Referral,1
41,2,42,5,Email,0
16,5,31,5,Ads,1
26,15,42,2,Email,0
33,11,35,6,Email,0
53,11,14,2,Email,0
32,11,18,7,Organic,1
23,9,39,4,Organic,1
6,1,27,5,Email,0
16,8,17,2,Email,0
19,6,35,6,Organic,1
24,15,28,6,Organic,0
35,19,28,6,Email,1
55,8,4,8,Organic,0
2,18,21,5,Referral,0
10,19,12,2,Email,1
57,9,32,8,Ads,1
9,2,16,1,Organic,0
49,8,46,1,Organic,1
59,3,36,5,Referral,0
36,19,34,7,Referral,1
41,13,11,5,Ads,0
30,16,37,2,Ads,0
10,3,49,3,Email,0
47,3,7,3,Organic,1
31,15,38,7,Organic,0
40,3,30,3,Ads,1
30,6,47,5,Referral,1
53,15,25,4,Organic,0
13,17,31,6,Organic,0
8,6,47,0,Organic,0
50,12,27,0,Email,0
1,7,6,1,Organic,1
57,18,37,6,Referral,0
4,3,46,8,Organic,1
16,6,41,6,Organic,1
31,10,17,6,Organic,1
25,8,33,3,Email,0
54,14,25,0,Referral,1
23,16,3,1,Ads,0
14,10,45,2,Organic,0
37,7,20,1,Referral,0
42,2,33,7,Organic,1
11,16,33,9,Email,0
39,1,11,4,Organic,1
38,5,46,7,Referral,0
43,12,15,8,Ads,1
8,12,19,8,Referral,0
5,13,32,3,Organic,0
58,15,16,3,Organic,0
44,8,43,3,Organic,0
59,14,44,8,Ads,1
9,11,4,4,Referral,0
58,3,10,8,Ads,0
39,5,10,1,Ads,1
18,9,12,4,Organic,1
22,14,25,5,Referral,1
32,5,9,2,Email,0
45,13,36,4,Referral,0
57,3,1,7,Ads,0
23,12,27,8,Email,1
10,6,17,0,Ads,1
18,5,49,1,Ads,1
24,2,12,1,Email,1
23,3,18,7,Ads,1
39,19,22,3,Ads,0
49,1,29,4,Email,0
34,6,19,7,Ads,1
38,3,49,0,Email,1
21,1,37,5,Email,1
49,11,35,1,Ads,0
30,6,1,8,Organic,0
20,5,14,6,Referral,0
17,17,43,2,Ads,0
10,18,42,1,Ads,0
32,16,36,3,Organic,0
41,5,29,8,Ads,0
34,11,11,5,Organic,0
48,19,32,4,Referral,0
15,15,37,5,Referral,1
40,13,32,4,Organic,0
5,9,2,4,Email,1
43,12,12,5,Organic,1
22,18,21,8,Referral,0
38,16,22,8,Ads,0
41,15,36,4,Referral,0
47,7,16,1,Organic,1
56,8,38,3,Email,1
36,9,13,8,Organic,1
4,6,13,8,Referral,0
9,6,9,6,Ads,1
57,12,45,4,Referral,0
46,9,12,0,Organic,1
29,18,15,6,Ads,0
22,12,11,6,Referral,1
56,5,37,5,Ads,0
16,4,28,4,Organic,0
43,1,11,9,Ads,0
39,13,45,0,Ads,1
44,2,23,8,Email,0
3,15,44,2,Email,1
40,1,42,7,Email,1
18,7,14,8,Organic,0
24,2,18,7,Organic,0
39,3,1,4,Ads,0
18,11,17,2,Organic,1
17,14,23,4,Email,1
25,7,22,7,Organic,1
13,14,33,5,Ads,1
23,13,28,5,Email,0
53,8,45,0,Referral,0
51,3,1,2,Ads,1
41,12,40,9,Referral,0
48,10,37,2,Organic,1
30,13,16,0,Organic,0
24,1,43,0,Organic,0
57,2,32,7,Ads,0
57,16,19,3,Organic,0
54,4,14,9,Ads,1
50,7,17,6,Ads,0
25,1,32,1,Email,1
48,9,15,9,Email,0
21,15,14,0,Email,0
45,1,13,4,Email,1
31,2,10,4,Email,1
14,14,17,5,Ads,0
40,13,18,7,Organic,1
30,11,7,3,Ads,0
55,19,2,5,Organic,0
11,12,5,4,Referral,0
14,15,49,1,Email,1
44,9,3,3,Ads,0
37,14,15,4,Organic,1
32,7,27,8,Ads,1
19,10,37,1,Email,1
52,1,40,4,Ads,1
17,14,34,1,Ads,0
35,4,39,5,Referral,0
20,8,31,8,Organic,1
9,6,25,2,Email,1
15,19,21,4,Email,0
798,2,2,0,Organic,1
582,9,0,0,Referral,0
420,16,9,1,Referral,1
1151,1,2,1,Organic,0
192,5,2,0,Social,0
680,5,14,1,Organic,0
199,6,11,1,Email,0
510,17,14,1,Email,0
860,12,2,0,Email,1
52,15,0,0,Email,0
701,11,10,0,Social,0
846,16,4,0,Social,0
